location,breakOutCategory,breakOut,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,FALSE,64.1,62.6,65.5,5178
PRAMS Total,Adequacy of Prenatal care,Adequate PNC,TRUE,35.9,34.5,37.4,2949
Utah,Adequacy of Prenatal care,Adequate PNC,FALSE,67.4,64.1,70.4,727
Hawaii,Adequacy of Prenatal care,Adequate PNC,FALSE,58.9,55.1,62.6,669
Maryland,Adequacy of Prenatal care,Adequate PNC,FALSE,66.7,61.7,71.3,546
Michigan,Adequacy of Prenatal care,Adequate PNC,FALSE,64.7,61.6,67.7,759
Maine,Adequacy of Prenatal care,Adequate PNC,TRUE,35.1,31.6,38.9,324
Minnesota,Adequacy of Prenatal care,Adequate PNC,TRUE,41.5,38.3,44.9,412
Maine,Adequacy of Prenatal care,Adequate PNC,FALSE,64.9,61.1,68.4,547
Utah,Adequacy of Prenatal care,Adequate PNC,TRUE,32.6,29.6,35.9,354
Hawaii,Adequacy of Prenatal care,Adequate PNC,TRUE,41.1,37.4,44.9,441
Maryland,Adequacy of Prenatal care,Adequate PNC,TRUE,33.3,28.7,38.3,321
New Jersey,Adequacy of Prenatal care,Adequate PNC,FALSE,63.9,60.4,67.2,595
West Virginia,Adequacy of Prenatal care,Adequate PNC,FALSE,67.8,64.4,71.1,757
West Virginia,Adequacy of Prenatal care,Adequate PNC,TRUE,32.2,28.9,35.6,342
New Jersey,Adequacy of Prenatal care,Adequate PNC,TRUE,36.1,32.8,39.6,320
Minnesota,Adequacy of Prenatal care,Adequate PNC,FALSE,58.5,55.1,61.7,578
Michigan,Adequacy of Prenatal care,Adequate PNC,TRUE,35.3,32.3,38.4,435
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,FALSE,73.9,68.2,78.9,389
PRAMS Total,Adequacy of Prenatal care,Inadequate PNC,TRUE,26.1,21.1,31.8,171
New Jersey,Adequacy of Prenatal care,Inadequate PNC,TRUE,29,19.5,40.9,25
West Virginia,Adequacy of Prenatal care,Inadequate PNC,FALSE,70.6,57.5,81,75
Minnesota,Adequacy of Prenatal care,Inadequate PNC,TRUE,37.5,21.1,57.2,16
West Virginia,Adequacy of Prenatal care,Inadequate PNC,TRUE,29.4,19,42.5,38
Maryland,Adequacy of Prenatal care,Inadequate PNC,FALSE,80.8,68.1,89.3,87
Utah,Adequacy of Prenatal care,Inadequate PNC,TRUE,38.3,23.6,55.5,15
Hawaii,Adequacy of Prenatal care,Inadequate PNC,FALSE,54.3,39,68.9,47
Utah,Adequacy of Prenatal care,Inadequate PNC,FALSE,61.7,44.5,76.4,28
Minnesota,Adequacy of Prenatal care,Inadequate PNC,FALSE,62.5,42.8,78.9,34
New Jersey,Adequacy of Prenatal care,Inadequate PNC,FALSE,71,59.1,80.5,63
Maryland,Adequacy of Prenatal care,Inadequate PNC,TRUE,19.2,10.7,31.9,35
Michigan,Adequacy of Prenatal care,Inadequate PNC,FALSE,81.9,68.7,90.4,42
Hawaii,Adequacy of Prenatal care,Inadequate PNC,TRUE,45.7,31.1,61,24
Michigan,Adequacy of Prenatal care,Inadequate PNC,TRUE,18.1,9.6,31.3,14
PRAMS Total,Adequacy of Prenatal care,Intermediate PNC,FALSE,73.1,70.3,75.6,1523
PRAMS Total,Adequacy of Prenatal care,Intermediate PNC,TRUE,26.9,24.4,29.7,618
West Virginia,Adequacy of Prenatal care,Intermediate PNC,TRUE,24.5,19,31.1,85
Maine,Adequacy of Prenatal care,Intermediate PNC,FALSE,70.7,61,78.9,93
Hawaii,Adequacy of Prenatal care,Intermediate PNC,FALSE,61.9,54.3,68.9,192
Michigan,Adequacy of Prenatal care,Intermediate PNC,FALSE,75,67.9,81.1,179
Hawaii,Adequacy of Prenatal care,Intermediate PNC,TRUE,38.1,31.1,45.7,94
Minnesota,Adequacy of Prenatal care,Intermediate PNC,FALSE,67.9,60.7,74.4,149
Michigan,Adequacy of Prenatal care,Intermediate PNC,TRUE,25,18.9,32.1,74
Maryland,Adequacy of Prenatal care,Intermediate PNC,FALSE,72.8,64.4,79.9,195
Utah,Adequacy of Prenatal care,Intermediate PNC,TRUE,20,14.8,26.4,50
West Virginia,Adequacy of Prenatal care,Intermediate PNC,FALSE,75.5,68.9,81,264
Maryland,Adequacy of Prenatal care,Intermediate PNC,TRUE,27.2,20.1,35.6,86
Minnesota,Adequacy of Prenatal care,Intermediate PNC,TRUE,32.1,25.6,39.3,86
Maine,Adequacy of Prenatal care,Intermediate PNC,TRUE,29.3,21.1,39,42
New Jersey,Adequacy of Prenatal care,Intermediate PNC,TRUE,26.6,22,31.8,101
New Jersey,Adequacy of Prenatal care,Intermediate PNC,FALSE,73.4,68.2,78,269
Utah,Adequacy of Prenatal care,Intermediate PNC,FALSE,80,73.6,85.2,182
PRAMS Total,Adequacy of Prenatal care,NA,FALSE,68.1,62.7,73.1,378
PRAMS Total,Adequacy of Prenatal care,NA,TRUE,31.9,26.9,37.3,209
Michigan,Adequacy of Prenatal care,NA,TRUE,32.5,24.2,42.1,52
Utah,Adequacy of Prenatal care,NA,FALSE,63.4,49.5,75.3,52
Minnesota,Adequacy of Prenatal care,NA,FALSE,62.3,50.1,73.1,48
Maryland,Adequacy of Prenatal care,NA,FALSE,72.3,60.7,81.5,111
Hawaii,Adequacy of Prenatal care,NA,TRUE,41.3,28,56,28
Hawaii,Adequacy of Prenatal care,NA,FALSE,58.7,44,72,52
Michigan,Adequacy of Prenatal care,NA,FALSE,67.5,57.9,75.8,88
Minnesota,Adequacy of Prenatal care,NA,TRUE,37.7,26.9,49.9,35
Maryland,Adequacy of Prenatal care,NA,TRUE,27.7,18.5,39.3,70
Utah,Adequacy of Prenatal care,NA,TRUE,36.6,24.7,50.5,22
PRAMS Total,Birth Weight,FALSE,FALSE,60.9,57.5,64.2,1886
PRAMS Total,Birth Weight,FALSE,TRUE,39.1,35.8,42.5,1010
Utah,Birth Weight,FALSE,FALSE,68.5,63.9,72.8,246
Hawaii,Birth Weight,FALSE,FALSE,63.1,57.5,68.3,171
Michigan,Birth Weight,FALSE,FALSE,65.3,59.2,70.9,177
Hawaii,Birth Weight,FALSE,TRUE,36.9,31.7,42.5,107
Minnesota,Birth Weight,FALSE,FALSE,41.9,30.7,54,45
New Jersey,Birth Weight,FALSE,FALSE,56.5,46.2,66.2,68
Maine,Birth Weight,FALSE,FALSE,63,59.4,66.5,224
Maine,Birth Weight,FALSE,TRUE,37,33.5,40.6,141
West Virginia,Birth Weight,FALSE,FALSE,71.7,69.4,73.9,550
Maryland,Birth Weight,FALSE,FALSE,66,61.9,69.8,405
Michigan,Birth Weight,FALSE,TRUE,34.7,29.1,40.8,95
Utah,Birth Weight,FALSE,TRUE,31.5,27.2,36.1,118
Minnesota,Birth Weight,FALSE,TRUE,58.1,46,69.3,44
West Virginia,Birth Weight,FALSE,TRUE,28.3,26.1,30.6,220
Maryland,Birth Weight,FALSE,TRUE,34,30.2,38.1,238
New Jersey,Birth Weight,FALSE,TRUE,43.5,33.8,53.8,47
PRAMS Total,Birth Weight,TRUE,FALSE,66.9,65.6,68.1,5576
PRAMS Total,Birth Weight,TRUE,TRUE,33.1,31.9,34.4,2937
Hawaii,Birth Weight,TRUE,FALSE,59,55.5,62.4,789
Michigan,Birth Weight,TRUE,FALSE,67.2,64.4,69.9,890
New Jersey,Birth Weight,TRUE,TRUE,32.2,29.4,35,399
Maryland,Birth Weight,TRUE,FALSE,70.1,66,73.9,531
West Virginia,Birth Weight,TRUE,TRUE,30.6,27.6,33.8,247
Maine,Birth Weight,TRUE,TRUE,34,30.5,37.6,229
West Virginia,Birth Weight,TRUE,FALSE,69.4,66.2,72.4,559
Utah,Birth Weight,TRUE,TRUE,31,28.2,33.9,323
Minnesota,Birth Weight,TRUE,FALSE,61.6,58.7,64.5,764
Maryland,Birth Weight,TRUE,TRUE,29.9,26.1,34,274
Hawaii,Birth Weight,TRUE,TRUE,41,37.6,44.5,480
New Jersey,Birth Weight,TRUE,FALSE,67.8,65,70.6,869
Michigan,Birth Weight,TRUE,TRUE,32.8,30.1,35.6,480
Minnesota,Birth Weight,TRUE,TRUE,38.4,35.5,41.3,505
Maine,Birth Weight,TRUE,FALSE,66,62.4,69.5,431
Utah,Birth Weight,TRUE,FALSE,69,66.1,71.8,743
PRAMS Total,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,78.4,76,80.6,1704
PRAMS Total,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,21.6,19.4,24,580
Maine,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,26.5,20.1,33.9,61
Minnesota,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,27.3,20.8,34.8,68
Minnesota,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,72.7,65.2,79.2,148
Michigan,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,80.2,75,84.6,259
Hawaii,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,60.1,52.7,67,200
Michigan,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,19.8,15.4,25,82
Utah,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,77,71.3,81.9,248
Utah,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,23,18.1,28.7,72
West Virginia,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,76.3,70.9,81.1,310
Maryland,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,90.4,83.5,94.6,200
New Jersey,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,23.8,18.2,30.6,53
Maryland,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,9.6,5.4,16.5,38
Hawaii,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,39.9,33,47.3,112
New Jersey,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,76.2,69.4,81.8,169
Maine,Income (years 2004 and beyond),"$10,000 to $24,999",FALSE,73.5,66.1,79.9,170
West Virginia,Income (years 2004 and beyond),"$10,000 to $24,999",TRUE,23.7,18.9,29.1,94
PRAMS Total,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,71.6,69,74.1,1511
PRAMS Total,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,28.4,25.9,31,681
New Jersey,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,22.6,16.6,30,44
Maine,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,63.6,55.7,70.7,126
Hawaii,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,40.7,34.4,47.3,140
West Virginia,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,37.1,30.2,44.5,85
Utah,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,70.3,65,75.1,270
Minnesota,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,71.3,65.5,76.5,209
Michigan,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,71,64.7,76.6,208
Michigan,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,29,23.4,35.3,82
Maryland,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,21.5,14.1,31.3,50
Hawaii,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,59.3,52.7,65.6,217
West Virginia,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,62.9,55.5,69.8,176
Maine,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,36.4,29.3,44.3,70
Utah,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,29.7,24.9,35,117
New Jersey,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,77.4,70,83.4,143
Maryland,Income (years 2004 and beyond),"$25,000 to $49,999",FALSE,78.5,68.7,85.9,162
Minnesota,Income (years 2004 and beyond),"$25,000 to $49,999",TRUE,28.7,23.5,34.5,93
PRAMS Total,Income (years 2004 and beyond),"$50,000 or more",FALSE,54.7,52.7,56.7,2183
PRAMS Total,Income (years 2004 and beyond),"$50,000 or more",TRUE,45.3,43.3,47.3,1848
New Jersey,Income (years 2004 and beyond),"$50,000 or more",FALSE,54.9,50.4,59.2,334
New Jersey,Income (years 2004 and beyond),"$50,000 or more",TRUE,45.1,40.8,49.6,259
Maine,Income (years 2004 and beyond),"$50,000 or more",TRUE,47.1,41.4,53,181
West Virginia,Income (years 2004 and beyond),"$50,000 or more",TRUE,39.4,33.4,45.8,144
Maryland,Income (years 2004 and beyond),"$50,000 or more",FALSE,56.9,51.2,62.3,390
Maine,Income (years 2004 and beyond),"$50,000 or more",FALSE,52.9,47,58.6,170
Maryland,Income (years 2004 and beyond),"$50,000 or more",TRUE,43.1,37.7,48.8,346
Michigan,Income (years 2004 and beyond),"$50,000 or more",FALSE,51.6,46.8,56.4,240
Minnesota,Income (years 2004 and beyond),"$50,000 or more",TRUE,48.5,44.4,52.7,284
Hawaii,Income (years 2004 and beyond),"$50,000 or more",FALSE,57.5,51.9,63,287
Utah,Income (years 2004 and beyond),"$50,000 or more",TRUE,39.2,34.3,44.4,178
Utah,Income (years 2004 and beyond),"$50,000 or more",FALSE,60.8,55.6,65.7,268
Michigan,Income (years 2004 and beyond),"$50,000 or more",TRUE,48.4,43.6,53.2,246
West Virginia,Income (years 2004 and beyond),"$50,000 or more",FALSE,60.6,54.2,66.6,197
Minnesota,Income (years 2004 and beyond),"$50,000 or more",FALSE,51.5,47.3,55.6,297
Hawaii,Income (years 2004 and beyond),"$50,000 or more",TRUE,42.5,37,48.1,210
PRAMS Total,Income (years 2004 and beyond),"Less than $10,000",FALSE,72.8,69.9,75.6,1555
PRAMS Total,Income (years 2004 and beyond),"Less than $10,000",TRUE,27.2,24.4,30.1,579
Utah,Income (years 2004 and beyond),"Less than $10,000",TRUE,28.1,21.3,36.1,53
Maine,Income (years 2004 and beyond),"Less than $10,000",FALSE,78.4,69.9,85,134
Hawaii,Income (years 2004 and beyond),"Less than $10,000",FALSE,61.5,53.8,68.6,209
Hawaii,Income (years 2004 and beyond),"Less than $10,000",TRUE,38.5,31.4,46.2,93
New Jersey,Income (years 2004 and beyond),"Less than $10,000",FALSE,78.5,71.8,83.9,167
West Virginia,Income (years 2004 and beyond),"Less than $10,000",TRUE,20.5,15.9,26,95
Michigan,Income (years 2004 and beyond),"Less than $10,000",FALSE,73.5,68.1,78.3,301
Michigan,Income (years 2004 and beyond),"Less than $10,000",TRUE,26.5,21.7,31.9,127
New Jersey,Income (years 2004 and beyond),"Less than $10,000",TRUE,21.5,16.1,28.2,47
Utah,Income (years 2004 and beyond),"Less than $10,000",FALSE,71.9,63.9,78.7,143
Minnesota,Income (years 2004 and beyond),"Less than $10,000",TRUE,36,27.8,45.2,71
Maine,Income (years 2004 and beyond),"Less than $10,000",TRUE,21.6,15,30.1,42
Minnesota,Income (years 2004 and beyond),"Less than $10,000",FALSE,64,54.8,72.2,132
West Virginia,Income (years 2004 and beyond),"Less than $10,000",FALSE,79.5,74,84.1,338
Maryland,Income (years 2004 and beyond),"Less than $10,000",FALSE,70.2,59.1,79.3,131
Maryland,Income (years 2004 and beyond),"Less than $10,000",TRUE,29.8,20.7,40.9,51
PRAMS Total,Marital Status,TRUE,FALSE,60.9,59.4,62.5,4194
PRAMS Total,Marital Status,TRUE,TRUE,39.1,37.5,40.6,2824
Maine,Marital Status,TRUE,FALSE,55.8,51.3,60.2,327
New Jersey,Marital Status,TRUE,TRUE,38,34.5,41.6,316
Minnesota,Marital Status,TRUE,TRUE,42.6,39.2,46,394
Utah,Marital Status,TRUE,FALSE,66.7,63.6,69.7,753
Minnesota,Marital Status,TRUE,FALSE,57.4,54,60.8,500
Michigan,Marital Status,TRUE,TRUE,40.1,36.6,43.8,367
Michigan,Marital Status,TRUE,FALSE,59.9,56.2,63.4,498
Hawaii,Marital Status,TRUE,FALSE,54.6,50.5,58.7,515
Maryland,Marital Status,TRUE,TRUE,38.8,34.1,43.7,416
West Virginia,Marital Status,TRUE,FALSE,63.8,59.7,67.8,523
Maryland,Marital Status,TRUE,FALSE,61.2,56.3,65.9,545
West Virginia,Marital Status,TRUE,TRUE,36.2,32.2,40.3,284
New Jersey,Marital Status,TRUE,FALSE,62,58.4,65.5,533
Maine,Marital Status,TRUE,TRUE,44.2,39.8,48.7,280
Utah,Marital Status,TRUE,TRUE,33.3,30.3,36.4,380
Hawaii,Marital Status,TRUE,TRUE,45.4,41.3,49.5,387
PRAMS Total,Marital Status,FALSE,FALSE,76,74.1,77.8,3265
PRAMS Total,Marital Status,FALSE,TRUE,24,22.2,25.9,1122
New Jersey,Marital Status,FALSE,TRUE,25,21.1,29.4,130
Maryland,Marital Status,FALSE,TRUE,17.8,13.2,23.6,96
Hawaii,Marital Status,FALSE,FALSE,66.9,61.8,71.7,445
West Virginia,Marital Status,FALSE,TRUE,23.5,19.8,27.5,183
Hawaii,Marital Status,FALSE,TRUE,33.1,28.3,38.2,200
Minnesota,Marital Status,FALSE,FALSE,67.8,62.2,72.9,309
West Virginia,Marital Status,FALSE,FALSE,76.5,72.5,80.2,588
New Jersey,Marital Status,FALSE,FALSE,75,70.6,78.9,404
Maine,Marital Status,FALSE,TRUE,19.4,15.3,24.4,90
Michigan,Marital Status,FALSE,TRUE,23,19.6,26.6,208
Maine,Marital Status,FALSE,FALSE,80.6,75.6,84.7,328
Michigan,Marital Status,FALSE,FALSE,77,73.4,80.4,569
Maryland,Marital Status,FALSE,FALSE,82.2,76.4,86.8,394
Utah,Marital Status,FALSE,TRUE,22.2,17.1,28.4,60
Utah,Marital Status,FALSE,FALSE,77.8,71.6,82.9,228
Minnesota,Marital Status,FALSE,TRUE,32.2,27.1,37.8,155
PRAMS Total,Maternal Age (3 Levels),20-29 yrs,FALSE,69.8,68.1,71.4,3853
PRAMS Total,Maternal Age (3 Levels),20-29 yrs,TRUE,30.2,28.6,31.9,1803
Michigan,Maternal Age (3 Levels),20-29 yrs,FALSE,70.9,67.3,74.2,609
Maryland,Maternal Age (3 Levels),20-29 yrs,TRUE,25.5,20.2,31.6,110
Maryland,Maternal Age (3 Levels),20-29 yrs,FALSE,74.5,68.4,79.8,289
West Virginia,Maternal Age (3 Levels),20-29 yrs,FALSE,68,64.3,71.5,674
Maine,Maternal Age (3 Levels),20-29 yrs,TRUE,31,26.7,35.7,182
Utah,Maternal Age (3 Levels),20-29 yrs,FALSE,70,66.4,73.4,567
Minnesota,Maternal Age (3 Levels),20-29 yrs,FALSE,63.2,59.1,67,451
West Virginia,Maternal Age (3 Levels),20-29 yrs,TRUE,32,28.5,35.7,296
Maine,Maternal Age (3 Levels),20-29 yrs,FALSE,69,64.3,73.3,374
Minnesota,Maternal Age (3 Levels),20-29 yrs,TRUE,36.8,33,40.9,270
New Jersey,Maternal Age (3 Levels),20-29 yrs,FALSE,72.3,68.1,76.2,409
Hawaii,Maternal Age (3 Levels),20-29 yrs,FALSE,61.9,57.2,66.3,480
Michigan,Maternal Age (3 Levels),20-29 yrs,TRUE,29.1,25.8,32.7,277
Hawaii,Maternal Age (3 Levels),20-29 yrs,TRUE,38.1,33.7,42.8,256
New Jersey,Maternal Age (3 Levels),20-29 yrs,TRUE,27.7,23.8,31.9,162
Utah,Maternal Age (3 Levels),20-29 yrs,TRUE,30,26.6,33.6,250
PRAMS Total,Maternal Age (3 Levels),30+ yrs,FALSE,61.1,59.3,62.9,2994
PRAMS Total,Maternal Age (3 Levels),30+ yrs,TRUE,38.9,37.1,40.7,1926
Maine,Maternal Age (3 Levels),30+ yrs,TRUE,42.5,37.1,48.1,179
New Jersey,Maternal Age (3 Levels),30+ yrs,TRUE,38.1,34.3,42.1,262
Minnesota,Maternal Age (3 Levels),30+ yrs,TRUE,42.4,38.1,46.7,250
Utah,Maternal Age (3 Levels),30+ yrs,TRUE,34.3,29.8,39.2,171
West Virginia,Maternal Age (3 Levels),30+ yrs,FALSE,68,61.8,73.6,272
Maryland,Maternal Age (3 Levels),30+ yrs,FALSE,65,60.2,69.5,611
Utah,Maternal Age (3 Levels),30+ yrs,FALSE,65.7,60.8,70.2,351
Maryland,Maternal Age (3 Levels),30+ yrs,TRUE,35,30.5,39.8,387
Michigan,Maternal Age (3 Levels),30+ yrs,TRUE,41.9,37.5,46.4,251
Michigan,Maternal Age (3 Levels),30+ yrs,FALSE,58.1,53.6,62.5,346
New Jersey,Maternal Age (3 Levels),30+ yrs,FALSE,61.9,57.9,65.7,463
Hawaii,Maternal Age (3 Levels),30+ yrs,TRUE,43.7,39,48.5,298
West Virginia,Maternal Age (3 Levels),30+ yrs,TRUE,32,26.4,38.2,128
Maine,Maternal Age (3 Levels),30+ yrs,FALSE,57.5,51.9,62.9,224
Hawaii,Maternal Age (3 Levels),30+ yrs,FALSE,56.3,51.5,61,410
Minnesota,Maternal Age (3 Levels),30+ yrs,FALSE,57.6,53.3,61.9,317
PRAMS Total,Maternal Age (3 Levels),<20 yrs,FALSE,73.4,68.6,77.6,620
PRAMS Total,Maternal Age (3 Levels),<20 yrs,TRUE,26.6,22.4,31.4,218
West Virginia,Maternal Age (3 Levels),<20 yrs,TRUE,19.9,14,27.4,43
Michigan,Maternal Age (3 Levels),<20 yrs,TRUE,23.5,16.8,31.7,47
Minnesota,Maternal Age (3 Levels),<20 yrs,FALSE,56.5,41.2,70.6,41
Minnesota,Maternal Age (3 Levels),<20 yrs,TRUE,43.5,29.4,58.8,29
Utah,Maternal Age (3 Levels),<20 yrs,TRUE,19.6,12.2,30.1,20
Hawaii,Maternal Age (3 Levels),<20 yrs,FALSE,60.2,46.8,72.2,70
New Jersey,Maternal Age (3 Levels),<20 yrs,TRUE,26.6,17.7,37.9,22
Maryland,Maternal Age (3 Levels),<20 yrs,FALSE,69.7,51.4,83.3,39
Utah,Maternal Age (3 Levels),<20 yrs,FALSE,80.4,69.9,87.8,70
Michigan,Maternal Age (3 Levels),<20 yrs,FALSE,76.5,68.3,83.2,113
New Jersey,Maternal Age (3 Levels),<20 yrs,FALSE,73.4,62.1,82.3,65
Hawaii,Maternal Age (3 Levels),<20 yrs,TRUE,39.8,27.8,53.2,33
Maryland,Maternal Age (3 Levels),<20 yrs,TRUE,30.3,16.7,48.6,15
Maine,Maternal Age (3 Levels),<20 yrs,FALSE,86.4,72.7,93.8,57
West Virginia,Maternal Age (3 Levels),<20 yrs,FALSE,80.1,72.6,86,165
Maine,Maternal Age (3 Levels),<20 yrs,TRUE,13.6,6.2,27.3,9
